ID,JSON Key,Content Group,Context,Canonical Unit,English Source,Current Kannada,Claude Suggested Kannada,Reviewer Corrected Kannada,Status,Issue Types,Do Not Translate,Official Facts,Reviewer Notes,Source File,Source Line/Location
315,campus_units.hostel.boys.fees.body,Campus Units (Sample),Display paragraph,hostel.boys.fees,SAMPLE_REPLACE_WITH_OFFICIAL. Official details are not confirmed yet. hostel fee range and what is included.,SAMPLE_REPLACE_WITH_OFFICIAL. ಅಧಿಕೃತ ವಿವರಗಳು ಇನ್ನೂ ದೃಢಪಟ್ಟಿಲ್ಲ. ಹಾಸ್ಟೆಲ್ ಶುಲ್ಕ ಮತ್ತು ಒಳಗೊಂಡಿರುವ ವಿವರ.,SAMPLE_REPLACE_WITH_OFFICIAL. ಅಧಿಕೃತ ವಿವರಗಳು ಇನ್ನೂ ದೃಢಪಟ್ಟಿಲ್ಲ. ಹಾಸ್ಟೆಲ್ ಶುಲ್ಕ ಮತ್ತು ಒಳಗೊಂಡಿರುವ ವಿವರ.,,Blocked – Official Fact,Placeholder text,,,,kn.json / en.json,en:476 kn:476 | campus_units.hostel.boys.fees.body
316,campus_units.hostel.boys.fees.tts_summary,Campus Units (Sample),Narration paragraph,hostel.boys.fees,Boys hostel — fees currently has only sample information about hostel fee range and what is included. Official details are not confirmed yet.,ಹುಡುಗರ ಹಾಸ್ಟೆಲ್ — ಶುಲ್ಕ ಬಗ್ಗೆ ಇದು ಮಾದರಿ ಮಾಹಿತಿ: ಹಾಸ್ಟೆಲ್ ಶುಲ್ಕ ಮತ್ತು ಒಳಗೊಂಡಿರುವ ವಿವರ. ಅಧಿಕೃತ ವಿವರಗಳು ಇನ್ನೂ ದೃಢಪಟ್ಟಿಲ್ಲ.,ಹುಡುಗರ ಹಾಸ್ಟೆಲ್ — ಶುಲ್ಕ ಬಗ್ಗೆ ಇದು ಮಾದರಿ ಮಾಹಿತಿ: ಹಾಸ್ಟೆಲ್ ಶುಲ್ಕ ಮತ್ತು ಒಳಗೊಂಡಿರುವ ವಿವರ. ಅಧಿಕೃತ ವಿವರಗಳು ಇನ್ನೂ ದೃಢಪಟ್ಟಿಲ್ಲ.,,Needs Native Review,,,,,kn.json / en.json,en:607 kn:607 | campus_units.hostel.boys.fees.tts_summary
317,campus_units.hostel.boys.fees.points[0],Campus Units (Sample),Display sentence,hostel.boys.fees,hostel fee range and what is included — SAMPLE_REPLACE_WITH_OFFICIAL,ಹಾಸ್ಟೆಲ್ ಶುಲ್ಕ ಮತ್ತು ಒಳಗೊಂಡಿರುವ ವಿವರ — SAMPLE_REPLACE_WITH_OFFICIAL,ಹಾಸ್ಟೆಲ್ ಶುಲ್ಕ ಮತ್ತು ಒಳಗೊಂಡಿರುವ ವಿವರ — SAMPLE_REPLACE_WITH_OFFICIAL,,Blocked – Official Fact,Placeholder text; Possibly missing terminal punctuation,,,,kn.json / en.json,en:539 kn:539 | campus_units.hostel.boys.fees.points[0]
318,campus_units.hostel.boys.fees.points[1],Campus Units (Sample),Display sentence,hostel.boys.fees,SAMPLE_REPLACE_WITH_OFFICIAL. Official details are not confirmed yet.,SAMPLE_REPLACE_WITH_OFFICIAL. ಅಧಿಕೃತ ವಿವರಗಳು ಇನ್ನೂ ದೃಢಪಟ್ಟಿಲ್ಲ.,SAMPLE_REPLACE_WITH_OFFICIAL. ಅಧಿಕೃತ ವಿವರಗಳು ಇನ್ನೂ ದೃಢಪಟ್ಟಿಲ್ಲ.,,Blocked – Official Fact,Placeholder text,,,,kn.json / en.json,en:476 kn:476 | campus_units.hostel.boys.fees.points[1]
319,campus_units.canteen.overview.title,Campus Units (Sample),Heading,canteen.overview,Canteen — overview,ಕ್ಯಾಂಟೀನ್ — ಅವಲೋಕನ,ಕ್ಯಾಂಟೀನ್ — ಅವಲೋಕನ,,Needs Native Review,,,,,kn.json / en.json,en:615 kn:615 | campus_units.canteen.overview.title
320,campus_units.canteen.overview.body,Campus Units (Sample),Display paragraph,canteen.overview,SAMPLE_REPLACE_WITH_OFFICIAL. Official details are not confirmed yet. general facilities and daily life.,SAMPLE_REPLACE_WITH_OFFICIAL. ಅಧಿಕೃತ ವಿವರಗಳು ಇನ್ನೂ ದೃಢಪಟ್ಟಿಲ್ಲ. ಸಾಮಾನ್ಯ ಸೌಲಭ್ಯಗಳು ಮತ್ತು ದೈನಂದಿನ ಜೀವನ.,SAMPLE_REPLACE_WITH_OFFICIAL. ಅಧಿಕೃತ ವಿವರಗಳು ಇನ್ನೂ ದೃಢಪಟ್ಟಿಲ್ಲ. ಸಾಮಾನ್ಯ ಸೌಲಭ್ಯಗಳು ಮತ್ತು ದೈನಂದಿನ ಜೀವನ.,,Blocked – Official Fact,Placeholder text,,,,kn.json / en.json,en:476 kn:476 | campus_units.canteen.overview.body
321,campus_units.canteen.overview.tts_summary,Campus Units (Sample),Narration paragraph,canteen.overview,Canteen — overview currently has only sample information about general facilities and daily life. Official details are not confirmed yet.,ಕ್ಯಾಂಟೀನ್ — ಅವಲೋಕನ ಬಗ್ಗೆ ಇದು ಮಾದರಿ ಮಾಹಿತಿ: ಸಾಮಾನ್ಯ ಸೌಲಭ್ಯಗಳು ಮತ್ತು ದೈನಂದಿನ ಜೀವನ. ಅಧಿಕೃತ ವಿವರಗಳು ಇನ್ನೂ ದೃಢಪಟ್ಟಿಲ್ಲ.,ಕ್ಯಾಂಟೀನ್ — ಅವಲೋಕನ ಬಗ್ಗೆ ಇದು ಮಾದರಿ ಮಾಹಿತಿ: ಸಾಮಾನ್ಯ ಸೌಲಭ್ಯಗಳು ಮತ್ತು ದೈನಂದಿನ ಜೀವನ. ಅಧಿಕೃತ ವಿವರಗಳು ಇನ್ನೂ ದೃಢಪಟ್ಟಿಲ್ಲ.,,Needs Native Review,,,,,kn.json / en.json,en:617 kn:617 | campus_units.canteen.overview.tts_summary
322,campus_units.canteen.overview.points[0],Campus Units (Sample),List item,canteen.overview,general facilities and daily life — SAMPLE_REPLACE_WITH_OFFICIAL,ಸಾಮಾನ್ಯ ಸೌಲಭ್ಯಗಳು ಮತ್ತು ದೈನಂದಿನ ಜೀವನ — SAMPLE_REPLACE_WITH_OFFICIAL,ಸಾಮಾನ್ಯ ಸೌಲಭ್ಯಗಳು ಮತ್ತು ದೈನಂದಿನ ಜೀವನ — SAMPLE_REPLACE_WITH_OFFICIAL,,Blocked – Official Fact,Placeholder text,,,,kn.json / en.json,en:479 kn:479 | campus_units.canteen.overview.points[0]
323,campus_units.canteen.overview.points[1],Campus Units (Sample),List item,canteen.overview,SAMPLE_REPLACE_WITH_OFFICIAL. Official details are not confirmed yet.,SAMPLE_REPLACE_WITH_OFFICIAL. ಅಧಿಕೃತ ವಿವರಗಳು ಇನ್ನೂ ದೃಢಪಟ್ಟಿಲ್ಲ.,SAMPLE_REPLACE_WITH_OFFICIAL. ಅಧಿಕೃತ ವಿವರಗಳು ಇನ್ನೂ ದೃಢಪಟ್ಟಿಲ್ಲ.,,Blocked – Official Fact,Placeholder text,,,,kn.json / en.json,en:476 kn:476 | campus_units.canteen.overview.points[1]
324,campus_units.canteen.food_quality.title,Campus Units (Sample),Heading,canteen.food_quality,Canteen — food quality,ಕ್ಯಾಂಟೀನ್ — ಆಹಾರದ ಗುಣಮಟ್ಟ,ಕ್ಯಾಂಟೀನ್ — ಆಹಾರದ ಗುಣಮಟ್ಟ,,Needs Native Review,,,,,kn.json / en.json,en:625 kn:625 | campus_units.canteen.food_quality.title
325,campus_units.canteen.food_quality.body,Campus Units (Sample),Display paragraph,canteen.food_quality,"SAMPLE_REPLACE_WITH_OFFICIAL. Official details are not confirmed yet. taste, freshness, and preparation quality.","SAMPLE_REPLACE_WITH_OFFICIAL. ಅಧಿಕೃತ ವಿವರಗಳು ಇನ್ನೂ ದೃಢಪಟ್ಟಿಲ್ಲ. ರುಚಿ, ತಾಜಾತನ ಮತ್ತು ತಯಾರಿಕೆ ಗುಣಮಟ್ಟ.","SAMPLE_REPLACE_WITH_OFFICIAL. ಅಧಿಕೃತ ವಿವರಗಳು ಇನ್ನೂ ದೃಢಪಟ್ಟಿಲ್ಲ. ರುಚಿ, ತಾಜಾತನ ಮತ್ತು ತಯಾರಿಕೆ ಗುಣಮಟ್ಟ.",,Blocked – Official Fact,Placeholder text,,,,kn.json / en.json,en:476 kn:476 | campus_units.canteen.food_quality.body
326,campus_units.canteen.food_quality.tts_summary,Campus Units (Sample),Narration paragraph,canteen.food_quality,"Canteen — food quality currently has only sample information about taste, freshness, and preparation quality. Official details are not confirmed yet.","ಕ್ಯಾಂಟೀನ್ — ಆಹಾರದ ಗುಣಮಟ್ಟ ಬಗ್ಗೆ ಇದು ಮಾದರಿ ಮಾಹಿತಿ: ರುಚಿ, ತಾಜಾತನ ಮತ್ತು ತಯಾರಿಕೆ ಗುಣಮಟ್ಟ. ಅಧಿಕೃತ ವಿವರಗಳು ಇನ್ನೂ ದೃಢಪಟ್ಟಿಲ್ಲ.","ಕ್ಯಾಂಟೀನ್ — ಆಹಾರದ ಗುಣಮಟ್ಟ ಬಗ್ಗೆ ಇದು ಮಾದರಿ ಮಾಹಿತಿ: ರುಚಿ, ತಾಜಾತನ ಮತ್ತು ತಯಾರಿಕೆ ಗುಣಮಟ್ಟ. ಅಧಿಕೃತ ವಿವರಗಳು ಇನ್ನೂ ದೃಢಪಟ್ಟಿಲ್ಲ.",,Needs Native Review,,,,,kn.json / en.json,en:627 kn:627 | campus_units.canteen.food_quality.tts_summary
327,campus_units.canteen.food_quality.points[0],Campus Units (Sample),List item,canteen.food_quality,"taste, freshness, and preparation quality — SAMPLE_REPLACE_WITH_OFFICIAL","ರುಚಿ, ತಾಜಾತನ ಮತ್ತು ತಯಾರಿಕೆ ಗುಣಮಟ್ಟ — SAMPLE_REPLACE_WITH_OFFICIAL","ರುಚಿ, ತಾಜಾತನ ಮತ್ತು ತಯಾರಿಕೆ ಗುಣಮಟ್ಟ — SAMPLE_REPLACE_WITH_OFFICIAL",,Blocked – Official Fact,Placeholder text,,,,kn.json / en.json,en:626 kn:629 | campus_units.canteen.food_quality.points[0]
328,campus_units.canteen.food_quality.points[1],Campus Units (Sample),List item,canteen.food_quality,SAMPLE_REPLACE_WITH_OFFICIAL. Official details are not confirmed yet.,SAMPLE_REPLACE_WITH_OFFICIAL. ಅಧಿಕೃತ ವಿವರಗಳು ಇನ್ನೂ ದೃಢಪಟ್ಟಿಲ್ಲ.,SAMPLE_REPLACE_WITH_OFFICIAL. ಅಧಿಕೃತ ವಿವರಗಳು ಇನ್ನೂ ದೃಢಪಟ್ಟಿಲ್ಲ.,,Blocked – Official Fact,Placeholder text,,,,kn.json / en.json,en:476 kn:476 | campus_units.canteen.food_quality.points[1]
329,campus_units.canteen.hygiene.title,Campus Units (Sample),Heading,canteen.hygiene,Canteen — hygiene,ಕ್ಯಾಂಟೀನ್ — ನೈರ್ಮಲ್ಯ,ಕ್ಯಾಂಟೀನ್ — ನೈರ್ಮಲ್ಯ,,Needs Native Review,,,,,kn.json / en.json,en:635 kn:635 | campus_units.canteen.hygiene.title
330,campus_units.canteen.hygiene.body,Campus Units (Sample),Display paragraph,canteen.hygiene,SAMPLE_REPLACE_WITH_OFFICIAL. Official details are not confirmed yet. kitchen cleanliness and serving hygiene.,SAMPLE_REPLACE_WITH_OFFICIAL. ಅಧಿಕೃತ ವಿವರಗಳು ಇನ್ನೂ ದೃಢಪಟ್ಟಿಲ್ಲ. ಅಡುಗೆಮನೆ ಸ್ವಚ್ಛತೆ ಮತ್ತು ಬಡಿಸುವ ನೈರ್ಮಲ್ಯ.,SAMPLE_REPLACE_WITH_OFFICIAL. ಅಧಿಕೃತ ವಿವರಗಳು ಇನ್ನೂ ದೃಢಪಟ್ಟಿಲ್ಲ. ಅಡುಗೆಮನೆ ಸ್ವಚ್ಛತೆ ಮತ್ತು ಬಡಿಸುವ ನೈರ್ಮಲ್ಯ.,,Blocked – Official Fact,Placeholder text,,,,kn.json / en.json,en:476 kn:476 | campus_units.canteen.hygiene.body
331,campus_units.canteen.hygiene.tts_summary,Campus Units (Sample),Narration paragraph,canteen.hygiene,Canteen — hygiene currently has only sample information about kitchen cleanliness and serving hygiene. Official details are not confirmed yet.,ಕ್ಯಾಂಟೀನ್ — ನೈರ್ಮಲ್ಯ ಬಗ್ಗೆ ಇದು ಮಾದರಿ ಮಾಹಿತಿ: ಅಡುಗೆಮನೆ ಸ್ವಚ್ಛತೆ ಮತ್ತು ಬಡಿಸುವ ನೈರ್ಮಲ್ಯ. ಅಧಿಕೃತ ವಿವರಗಳು ಇನ್ನೂ ದೃಢಪಟ್ಟಿಲ್ಲ.,ಕ್ಯಾಂಟೀನ್ — ನೈರ್ಮಲ್ಯ ಬಗ್ಗೆ ಇದು ಮಾದರಿ ಮಾಹಿತಿ: ಅಡುಗೆಮನೆ ಸ್ವಚ್ಛತೆ ಮತ್ತು ಬಡಿಸುವ ನೈರ್ಮಲ್ಯ. ಅಧಿಕೃತ ವಿವರಗಳು ಇನ್ನೂ ದೃಢಪಟ್ಟಿಲ್ಲ.,,Needs Native Review,,,,,kn.json / en.json,en:637 kn:637 | campus_units.canteen.hygiene.tts_summary
332,campus_units.canteen.hygiene.points[0],Campus Units (Sample),List item,canteen.hygiene,kitchen cleanliness and serving hygiene — SAMPLE_REPLACE_WITH_OFFICIAL,ಅಡುಗೆಮನೆ ಸ್ವಚ್ಛತೆ ಮತ್ತು ಬಡಿಸುವ ನೈರ್ಮಲ್ಯ — SAMPLE_REPLACE_WITH_OFFICIAL,ಅಡುಗೆಮನೆ ಸ್ವಚ್ಛತೆ ಮತ್ತು ಬಡಿಸುವ ನೈರ್ಮಲ್ಯ — SAMPLE_REPLACE_WITH_OFFICIAL,,Blocked – Official Fact,Placeholder text,,,,kn.json / en.json,en:636 kn:636 | campus_units.canteen.hygiene.points[0]
333,campus_units.canteen.hygiene.points[1],Campus Units (Sample),List item,canteen.hygiene,SAMPLE_REPLACE_WITH_OFFICIAL. Official details are not confirmed yet.,SAMPLE_REPLACE_WITH_OFFICIAL. ಅಧಿಕೃತ ವಿವರಗಳು ಇನ್ನೂ ದೃಢಪಟ್ಟಿಲ್ಲ.,SAMPLE_REPLACE_WITH_OFFICIAL. ಅಧಿಕೃತ ವಿವರಗಳು ಇನ್ನೂ ದೃಢಪಟ್ಟಿಲ್ಲ.,,Blocked – Official Fact,Placeholder text,,,,kn.json / en.json,en:476 kn:476 | campus_units.canteen.hygiene.points[1]
334,campus_units.canteen.variety.title,Campus Units (Sample),Heading,canteen.variety,Canteen — variety,ಕ್ಯಾಂಟೀನ್ — ವೈವಿಧ್ಯ,ಕ್ಯಾಂಟೀನ್ — ವೈವಿಧ್ಯ,,Needs Native Review,,,,,kn.json / en.json,en:645 kn:645 | campus_units.canteen.variety.title
335,campus_units.canteen.variety.body,Campus Units (Sample),Display paragraph,canteen.variety,SAMPLE_REPLACE_WITH_OFFICIAL. Official details are not confirmed yet. menu range and dietary options.,SAMPLE_REPLACE_WITH_OFFICIAL. ಅಧಿಕೃತ ವಿವರಗಳು ಇನ್ನೂ ದೃಢಪಟ್ಟಿಲ್ಲ. ಮೆನು ವ್ಯಾಪ್ತಿ ಮತ್ತು ಆಹಾರ ಆಯ್ಕೆಗಳು.,SAMPLE_REPLACE_WITH_OFFICIAL. ಅಧಿಕೃತ ವಿವರಗಳು ಇನ್ನೂ ದೃಢಪಟ್ಟಿಲ್ಲ. ಮೆನು ವ್ಯಾಪ್ತಿ ಮತ್ತು ಆಹಾರ ಆಯ್ಕೆಗಳು.,,Blocked – Official Fact,Placeholder text,,,,kn.json / en.json,en:476 kn:476 | campus_units.canteen.variety.body
336,campus_units.canteen.variety.tts_summary,Campus Units (Sample),Narration paragraph,canteen.variety,Canteen — variety currently has only sample information about menu range and dietary options. Official details are not confirmed yet.,ಕ್ಯಾಂಟೀನ್ — ವೈವಿಧ್ಯ ಬಗ್ಗೆ ಇದು ಮಾದರಿ ಮಾಹಿತಿ: ಮೆನು ವ್ಯಾಪ್ತಿ ಮತ್ತು ಆಹಾರ ಆಯ್ಕೆಗಳು. ಅಧಿಕೃತ ವಿವರಗಳು ಇನ್ನೂ ದೃಢಪಟ್ಟಿಲ್ಲ.,ಕ್ಯಾಂಟೀನ್ — ವೈವಿಧ್ಯ ಬಗ್ಗೆ ಇದು ಮಾದರಿ ಮಾಹಿತಿ: ಮೆನು ವ್ಯಾಪ್ತಿ ಮತ್ತು ಆಹಾರ ಆಯ್ಕೆಗಳು. ಅಧಿಕೃತ ವಿವರಗಳು ಇನ್ನೂ ದೃಢಪಟ್ಟಿಲ್ಲ.,,Needs Native Review,,,,,kn.json / en.json,en:647 kn:647 | campus_units.canteen.variety.tts_summary
337,campus_units.canteen.variety.points[0],Campus Units (Sample),List item,canteen.variety,menu range and dietary options — SAMPLE_REPLACE_WITH_OFFICIAL,ಮೆನು ವ್ಯಾಪ್ತಿ ಮತ್ತು ಆಹಾರ ಆಯ್ಕೆಗಳು — SAMPLE_REPLACE_WITH_OFFICIAL,ಮೆನು ವ್ಯಾಪ್ತಿ ಮತ್ತು ಆಹಾರ ಆಯ್ಕೆಗಳು — SAMPLE_REPLACE_WITH_OFFICIAL,,Blocked – Official Fact,Placeholder text,,,,kn.json / en.json,en:649 kn:649 | campus_units.canteen.variety.points[0]
338,campus_units.canteen.variety.points[1],Campus Units (Sample),List item,canteen.variety,SAMPLE_REPLACE_WITH_OFFICIAL. Official details are not confirmed yet.,SAMPLE_REPLACE_WITH_OFFICIAL. ಅಧಿಕೃತ ವಿವರಗಳು ಇನ್ನೂ ದೃಢಪಟ್ಟಿಲ್ಲ.,SAMPLE_REPLACE_WITH_OFFICIAL. ಅಧಿಕೃತ ವಿವರಗಳು ಇನ್ನೂ ದೃಢಪಟ್ಟಿಲ್ಲ.,,Blocked – Official Fact,Placeholder text,,,,kn.json / en.json,en:476 kn:476 | campus_units.canteen.variety.points[1]
339,campus_units.canteen.pricing.title,Campus Units (Sample),Heading,canteen.pricing,Canteen — pricing,ಕ್ಯಾಂಟೀನ್ — ಬೆಲೆ,ಕ್ಯಾಂಟೀನ್ — ಬೆಲೆ,,Needs Native Review,,,,,kn.json / en.json,en:655 kn:655 | campus_units.canteen.pricing.title
340,campus_units.canteen.pricing.body,Campus Units (Sample),Display paragraph,canteen.pricing,SAMPLE_REPLACE_WITH_OFFICIAL. Official details are not confirmed yet. affordability of typical meals.,SAMPLE_REPLACE_WITH_OFFICIAL. ಅಧಿಕೃತ ವಿವರಗಳು ಇನ್ನೂ ದೃಢಪಟ್ಟಿಲ್ಲ. ಸಾಮಾನ್ಯ ಊಟದ ಕೈಗೆಟುಕುವಿಕೆ.,SAMPLE_REPLACE_WITH_OFFICIAL. ಅಧಿಕೃತ ವಿವರಗಳು ಇನ್ನೂ ದೃಢಪಟ್ಟಿಲ್ಲ. ಸಾಮಾನ್ಯ ಊಟದ ಕೈಗೆಟುಕುವಿಕೆ.,,Blocked – Official Fact,Placeholder text,,,,kn.json / en.json,en:476 kn:476 | campus_units.canteen.pricing.body
341,campus_units.canteen.pricing.tts_summary,Campus Units (Sample),Narration paragraph,canteen.pricing,Canteen — pricing currently has only sample information about affordability of typical meals. Official details are not confirmed yet.,ಕ್ಯಾಂಟೀನ್ — ಬೆಲೆ ಬಗ್ಗೆ ಇದು ಮಾದರಿ ಮಾಹಿತಿ: ಸಾಮಾನ್ಯ ಊಟದ ಕೈಗೆಟುಕುವಿಕೆ. ಅಧಿಕೃತ ವಿವರಗಳು ಇನ್ನೂ ದೃಢಪಟ್ಟಿಲ್ಲ.,ಕ್ಯಾಂಟೀನ್ — ಬೆಲೆ ಬಗ್ಗೆ ಇದು ಮಾದರಿ ಮಾಹಿತಿ: ಸಾಮಾನ್ಯ ಊಟದ ಕೈಗೆಟುಕುವಿಕೆ. ಅಧಿಕೃತ ವಿವರಗಳು ಇನ್ನೂ ದೃಢಪಟ್ಟಿಲ್ಲ.,,Needs Native Review,,,,,kn.json / en.json,en:657 kn:657 | campus_units.canteen.pricing.tts_summary
342,campus_units.canteen.pricing.points[0],Campus Units (Sample),List item,canteen.pricing,affordability of typical meals — SAMPLE_REPLACE_WITH_OFFICIAL,ಸಾಮಾನ್ಯ ಊಟದ ಕೈಗೆಟುಕುವಿಕೆ — SAMPLE_REPLACE_WITH_OFFICIAL,ಸಾಮಾನ್ಯ ಊಟದ ಕೈಗೆಟುಕುವಿಕೆ — SAMPLE_REPLACE_WITH_OFFICIAL,,Blocked – Official Fact,Placeholder text,,,,kn.json / en.json,en:659 kn:659 | campus_units.canteen.pricing.points[0]
343,campus_units.canteen.pricing.points[1],Campus Units (Sample),List item,canteen.pricing,SAMPLE_REPLACE_WITH_OFFICIAL. Official details are not confirmed yet.,SAMPLE_REPLACE_WITH_OFFICIAL. ಅಧಿಕೃತ ವಿವರಗಳು ಇನ್ನೂ ದೃಢಪಟ್ಟಿಲ್ಲ.,SAMPLE_REPLACE_WITH_OFFICIAL. ಅಧಿಕೃತ ವಿವರಗಳು ಇನ್ನೂ ದೃಢಪಟ್ಟಿಲ್ಲ.,,Blocked – Official Fact,Placeholder text,,,,kn.json / en.json,en:476 kn:476 | campus_units.canteen.pricing.points[1]
344,campus_units.canteen.timings.title,Campus Units (Sample),Heading,canteen.timings,Canteen — entry and exit timings,ಕ್ಯಾಂಟೀನ್ — ಪ್ರವೇಶ ಮತ್ತು ನಿರ್ಗಮನ ಸಮಯ,ಕ್ಯಾಂಟೀನ್ — ಪ್ರವೇಶ ಮತ್ತು ನಿರ್ಗಮನ ಸಮಯ,,Needs Native Review,,,,,kn.json / en.json,en:665 kn:665 | campus_units.canteen.timings.title
345,campus_units.canteen.timings.body,Campus Units (Sample),Display paragraph,canteen.timings,"SAMPLE_REPLACE_WITH_OFFICIAL. Official details are not confirmed yet. entry, exit, and in-campus hours.","SAMPLE_REPLACE_WITH_OFFICIAL. ಅಧಿಕೃತ ವಿವರಗಳು ಇನ್ನೂ ದೃಢಪಟ್ಟಿಲ್ಲ. ಪ್ರವೇಶ, ನಿರ್ಗಮನ ಮತ್ತು ಆವರಣದ ಸಮಯ.","SAMPLE_REPLACE_WITH_OFFICIAL. ಅಧಿಕೃತ ವಿವರಗಳು ಇನ್ನೂ ದೃಢಪಟ್ಟಿಲ್ಲ. ಪ್ರವೇಶ, ನಿರ್ಗಮನ ಮತ್ತು ಆವರಣದ ಸಮಯ.",,Blocked – Official Fact,Placeholder text,,,,kn.json / en.json,en:476 kn:476 | campus_units.canteen.timings.body
346,campus_units.canteen.timings.tts_summary,Campus Units (Sample),Narration paragraph,canteen.timings,"Canteen — entry and exit timings currently has only sample information about entry, exit, and in-campus hours. Official details are not confirmed yet.","ಕ್ಯಾಂಟೀನ್ — ಪ್ರವೇಶ ಮತ್ತು ನಿರ್ಗಮನ ಸಮಯ ಬಗ್ಗೆ ಇದು ಮಾದರಿ ಮಾಹಿತಿ: ಪ್ರವೇಶ, ನಿರ್ಗಮನ ಮತ್ತು ಆವರಣದ ಸಮಯ. ಅಧಿಕೃತ ವಿವರಗಳು ಇನ್ನೂ ದೃಢಪಟ್ಟಿಲ್ಲ.","ಕ್ಯಾಂಟೀನ್ — ಪ್ರವೇಶ ಮತ್ತು ನಿರ್ಗಮನ ಸಮಯ ಬಗ್ಗೆ ಇದು ಮಾದರಿ ಮಾಹಿತಿ: ಪ್ರವೇಶ, ನಿರ್ಗಮನ ಮತ್ತು ಆವರಣದ ಸಮಯ. ಅಧಿಕೃತ ವಿವರಗಳು ಇನ್ನೂ ದೃಢಪಟ್ಟಿಲ್ಲ.",,Needs Native Review,,,,,kn.json / en.json,en:667 kn:667 | campus_units.canteen.timings.tts_summary
347,campus_units.canteen.timings.points[0],Campus Units (Sample),List item,canteen.timings,"entry, exit, and in-campus hours — SAMPLE_REPLACE_WITH_OFFICIAL","ಪ್ರವೇಶ, ನಿರ್ಗಮನ ಮತ್ತು ಆವರಣದ ಸಮಯ — SAMPLE_REPLACE_WITH_OFFICIAL","ಪ್ರವೇಶ, ನಿರ್ಗಮನ ಮತ್ತು ಆವರಣದ ಸಮಯ — SAMPLE_REPLACE_WITH_OFFICIAL",,Blocked – Official Fact,Placeholder text,,,,kn.json / en.json,en:499 kn:499 | campus_units.canteen.timings.points[0]
348,campus_units.canteen.timings.points[1],Campus Units (Sample),List item,canteen.timings,SAMPLE_REPLACE_WITH_OFFICIAL. Official details are not confirmed yet.,SAMPLE_REPLACE_WITH_OFFICIAL. ಅಧಿಕೃತ ವಿವರಗಳು ಇನ್ನೂ ದೃಢಪಟ್ಟಿಲ್ಲ.,SAMPLE_REPLACE_WITH_OFFICIAL. ಅಧಿಕೃತ ವಿವರಗಳು ಇನ್ನೂ ದೃಢಪಟ್ಟಿಲ್ಲ.,,Blocked – Official Fact,Placeholder text,,,,kn.json / en.json,en:476 kn:476 | campus_units.canteen.timings.points[1]
349,campus_units.canteen.safety.title,Campus Units (Sample),Heading,canteen.safety,Canteen — safety,ಕ್ಯಾಂಟೀನ್ — ಭದ್ರತೆ,ಕ್ಯಾಂಟೀನ್ — ಭದ್ರತೆ,,Needs Native Review,,,,,kn.json / en.json,en:675 kn:675 | campus_units.canteen.safety.title
350,campus_units.canteen.safety.body,Campus Units (Sample),Display paragraph,canteen.safety,"SAMPLE_REPLACE_WITH_OFFICIAL. Official details are not confirmed yet. secure entry, supervision, and anti-ragging policy.","SAMPLE_REPLACE_WITH_OFFICIAL. ಅಧಿಕೃತ ವಿವರಗಳು ಇನ್ನೂ ದೃಢಪಟ್ಟಿಲ್ಲ. ಸುರಕ್ಷಿತ ಪ್ರವೇಶ, ಮೇಲ್ವಿಚಾರಣೆ ಮತ್ತು ರ್ಯಾಗಿಂಗ್ ನಿಷೇಧ.","SAMPLE_REPLACE_WITH_OFFICIAL. ಅಧಿಕೃತ ವಿವರಗಳು ಇನ್ನೂ ದೃಢಪಟ್ಟಿಲ್ಲ. ಸುರಕ್ಷಿತ ಪ್ರವೇಶ, ಮೇಲ್ವಿಚಾರಣೆ ಮತ್ತು ರ್ಯಾಗಿಂಗ್ ನಿಷೇಧ.",,Blocked – Official Fact,Placeholder text,,,,kn.json / en.json,en:476 kn:476 | campus_units.canteen.safety.body
351,campus_units.canteen.safety.tts_summary,Campus Units (Sample),Narration paragraph,canteen.safety,"Canteen — safety currently has only sample information about secure entry, supervision, and anti-ragging policy. Official details are not confirmed yet.","ಕ್ಯಾಂಟೀನ್ — ಭದ್ರತೆ ಬಗ್ಗೆ ಇದು ಮಾದರಿ ಮಾಹಿತಿ: ಸುರಕ್ಷಿತ ಪ್ರವೇಶ, ಮೇಲ್ವಿಚಾರಣೆ ಮತ್ತು ರ್ಯಾಗಿಂಗ್ ನಿಷೇಧ. ಅಧಿಕೃತ ವಿವರಗಳು ಇನ್ನೂ ದೃಢಪಟ್ಟಿಲ್ಲ.","ಕ್ಯಾಂಟೀನ್ — ಭದ್ರತೆ ಬಗ್ಗೆ ಇದು ಮಾದರಿ ಮಾಹಿತಿ: ಸುರಕ್ಷಿತ ಪ್ರವೇಶ, ಮೇಲ್ವಿಚಾರಣೆ ಮತ್ತು ರ್ಯಾಗಿಂಗ್ ನಿಷೇಧ. ಅಧಿಕೃತ ವಿವರಗಳು ಇನ್ನೂ ದೃಢಪಟ್ಟಿಲ್ಲ.",,Needs Native Review,,,,,kn.json / en.json,en:677 kn:677 | campus_units.canteen.safety.tts_summary
